prid,proceedingid,title,subtitle,proc_desc,con_city,con_state,con_country,con_start_date,con_end_date,publication_date,puid
243044,1865875,Model-Based Methodologies for Pervasive and Embedded Software,,Proceedings of the 7th International Workshop,Antwerpen,,Belgium,2010-09-20,2010-09-20,2010-09-20,1545
243300,1501434,"Privacy, Security and Trust",Bridge the Gap Between PST Technologies and Business Services,Proceedings of the 2006 International Conference,Markham,Ontario,Canada,2006-10-30,2006-11-01,2006-10-30,1545
243433,1568234,Artificial Intelligence and Law,,Proceedings of the 12th International Conference,Barcelona,,Spain,2009-06-08,2009-06-12,2009-06-08,1545
243458,1394496,Foundations of aspect-oriented languages,,Proceedings of the 7th workshop,Brussels,,Belgium,2008-04-01,2008-04-01,2008-04-01,1545
243468,1925801,"the Implementation, Compilation, Optimization of Object-Oriented Languages, Programs and Systems",,Proceedings of the Workshop,Maribor,,Slovenia,2010-06-22,2010-06-22,2010-06-22,1545
243551,1992896,Computer Science and Software Engineering,,Proceedings of The Fourth International C* Conference,Montreal,Quebec,Canada,2011-05-16,2011-05-18,2011-05-16,1545
243629,2723839,Subject-Oriented Business Process Management,,Proceedings of the 7th International Conference,Kiel,,Germany,2015-04-23,2015-04-24,2015-04-23,1545
243678,1296907,Memory management,,Proceedings of the 6th international symposium,Montreal,Quebec,Canada,2007-10-21,2007-10-22,2007-10-21,1545
243736,1869446,Information Heterogeneity and Fusion in Recommender Systems,,Proceedings of the 1st International Workshop,Barcelona,,Spain,2010-09-26,2010-09-26,2010-09-26,1545
243820,501158,Electronic Commerce,,Proceedings of the 3rd ACM conference,Tampa,Florida,USA,2001-10-14,2001-10-17,2001-10-14,1545
243968,1282380,"Applications, technologies, architectures, and protocols for computer communications",,Proceedings of the 2007 conference,Kyoto,,Japan,2007-08-27,2007-08-31,2007-08-27,1545
244007,313256,Wireless mobile multimedia,,Proceedings of the 2nd ACM international workshop,Seattle,Washington,USA,1999-08-20,1999-08-20,1999-08-01,1545
244021,2442657,Crowdsourcing and Data Mining,,Proceedings of the First International Workshop,Beijing,China,,2012-08-12,2012-08-12,2012-08-12,1545
244082,800226,Programming language issues in software systems,,Proceedings of the 1983 ACM SIGPLAN symposium,San Francisco,California,USA,1983-06-27,1983-06-29,1983-06-27,1545
244868,882452,"Design, automation and test in Europe",,Proceedings of the conference,,,,2002-03-04,2002-03-08,2002-03-04,3039
245177,100348,Cooperation,,Proceedings of the 1990 ACM annual conference,Washington,D.C.,USA,1990-02-20,1990-02-22,1990-01-01,1545
245287,1028523,Computer animation,,Proceedings of the 2004 ACM SIGGRAPH/Eurographics symposium,Grenoble,,France,2004-08-27,2004-08-29,2004-08-27,13696
245322,1269880,Mining network data,,Proceedings of the 3rd annual ACM workshop,San Diego,California,USA,2007-06-12,2007-06-12,2007-06-12,1545
245335,1324499,,,2007 ACM/SIGDA Dinner and Open Member Meeting,,,,2007-11-06,,2007-11-06,1545
245416,101007,Numerical ordinary differential equations,,Proceedings of the conference,,,,,,1989-05-01,1545
245454,1972551,System Security,,Proceedings of the Fourth European Workshop,Salzburg,,Austria,2011-04-10,2011-04-10,2011-04-10,1545
245574,2745754,Principles of Database Systems,,Proceedings of the 34th ACM Symposium,Melbourne,Victoria,Australia,2015-05-31,2015-06-04,2015-05-20,1545
245604,1668113,Commercial Users of Functional Programming,"Functional Programming As a Means, Not an End",Proceedings of the 2009 Video Workshop,Edinburgh,,Scotland,2009-09-04,2009-09-04,2009-09-04,1545
245673,1273463,Software testing and analysis,,Proceedings of the 2007 international symposium,London,,United Kingdom,2007-07-09,2007-07-12,2007-07-09,1545
245734,2669379,Emerging Trends in Software Metrics,,Proceedings of the 3rd International Workshop,Zurich,,Switzerland,2012-06-03,2012-06-03,2012-06-03,4124
245974,602099,Visualization '02,,Proceedings of the conference,Boston,Massachusetts,,2002-10-27,2002-11-01,2002-10-27,3039
246022,336512,The Future of Software Engineering,,Proceedings of the Conference,Limerick,,Ireland,2000-06-04,2000-06-11,2000-05-01,1545
246421,1842993,Advanced Visual Interfaces,,Proceedings of the International Conference,Roma,,Italy,2010-05-26,2010-05-28,2010-05-26,1545
246904,1183614,Information and knowledge management,,Proceedings of the 15th ACM international conference,Arlington,Virginia,USA,2006-11-06,2006-11-11,2006-11-06,1545
247444,2486001,SIGCOMM,,Proceedings of the ACM SIGCOMM 2013 conference,Hong Kong,,China,2013-08-12,2013-08-16,2013-08-12,1545
247471,1080793,Wireless security,,Proceedings of the 4th ACM workshop,Cologne,,Germany,2005-09-02,2005-09-02,2005-09-02,1545
247559,2544114,,,Proceedings of the 8th Audio Mostly Conference,Pite&#229;,,Sweden,2013-09-18,2013-09-20,2013-09-18,1545
247711,1671328,,,Proceedings of the 2009 13th IEEE/ACM International Symposium on Distributed Simulation and Real Time Applications,,,,2009-10-25,2009-10-28,2009-10-25,3039
247752,1291201,Haskell workshop,,Proceedings of the ACM SIGPLAN workshop,Freiburg,,Germany,2007-09-30,2007-09-30,2007-09-30,1545
248081,2523616,Cloud Computing,,Proceedings of the 4th annual Symposium,Santa Clara,California,,2013-10-01,2013-10-03,2013-10-01,1545
248808,2701973,Human-Robot Interaction Extended Abstracts,,Proceedings of the Tenth Annual ACM/IEEE International Conference,Portland,Oregon,USA,2015-03-02,2015-03-05,2015-03-02,1545
248879,800210,Office information systems,,Proceedings of the SIGOA conference,Philadelphia,Pennsylvannia,USA,1982-06-21,1982-06-23,1982-06-21,1545
248903,2531923,Emotion recognition in the wild challenge and workshop,,Proceedings of the 2013,Sydney,,Australia,2013-12-09,2013-12-09,2013-12-09,1545
248936,1878052,Multimedia technologies for distance leaning,,Proceedings of the second ACM international workshop,Firenze,,Italy,2010-10-29,2010-10-29,2010-10-29,1545
249065,2762722,Context-Aware Systems and Applications,,Proceedings of the 3rd International Conference,Dubai,,United Arab Emirates,2014-10-07,2014-10-09,2014-10-07,6032
249193,1641913,Performance monitoring and measurement of heterogeneous wireless and wired networks,,Proceedings of the 4th ACM workshop,"Tenerife, Canary Islands",,Spain,2009-10-26,2009-10-26,2009-10-26,1545
249260,1464013,,,"Proceedings of the November 30--December 1, 1965, fall joint computer conference, part II: computers: their impact on society",Las Vegas,Nevada,,1965-11-30,1965-12-01,1965-11-30,1545
249288,301816,I/O in parallel and distributed systems,,Proceedings of the sixth workshop,Atlanta,Georgia,USA,1999-05-05,1999-05-05,1999-05-01,1545
249304,1394504,Static analysis,,Proceedings of the 2008 workshop,Tucson,Arizona,,2008-06-12,2008-06-12,2008-06-12,1545
249333,800028,Compiler optimization,,Proceedings of a symposium,Urbana-Champaign,Illinois,,1970-07-27,1970-07-28,1970-07-27,1545
249378,1746050,Interactive Entertainment,,Proceedings of the Sixth Australasian Conference,Sydney,,Australia,2009-12-17,2009-12-19,2009-12-17,1545
249413,2688283,Irregular Applications,Architectures and Algorithms,Proceedings of the Fourth Workshop,New Orleans,Louisiana,,2014-11-16,2014-11-21,2014-11-16,4124
249537,1133981,Programming Language Design and Implementation,,Proceedings of the 27th ACM SIGPLAN Conference,Ottawa,Ontario,Canada,2006-06-11,2006-06-14,2006-06-11,1545
249567,1869631,Dynamic languages,,Proceedings of the 6th symposium,Reno/Tahoe,Nevada,USA,2010-10-18,2010-10-18,2010-10-18,1545
249700,1961258,Product Focused Software,,Proceedings of the 11th International Conference,Limerick,,Ireland,2010-06-21,2010-06-23,2010-06-21,1545
249740,1811212, Compilers for Embedded Systems,,Proceedings of the 13th International Workshop,St. Goar,,Germany,2010-06-28,2010-06-29,2010-06-28,1545
249838,1458502,Web information and data management,,Proceedings of the 10th ACM workshop,Napa Valley,California,USA,2008-10-30,2008-10-30,2008-10-30,1545
249903,1877953,Mobile cloud media computing,,Proceedings of the 2010 ACM multimedia workshop,Firenze,,Italy,2010-10-29,2010-10-29,2010-10-29,1545
249931,1022471,Erlang,,Proceedings of the 2004 ACM SIGPLAN workshop,Snowbird,Utah,USA,2004-09-22,2004-09-22,2004-09-22,1545
250096,1409540,Electronic commerce,,Proceedings of the 10th international conference,Innsbruck,,Austria,2008-08-19,2008-08-22,2008-08-19,1545
250258,1592568,Data communication,,Proceedings of the ACM SIGCOMM 2009 conference,Barcelona,,Spain,2009-08-16,2009-08-21,2009-08-16,1545
250467,169070,Computer science education,,Proceedings of the twenty-fourth SIGCSE technical symposium,Indianapolis,Indiana,USA,1993-02-18,1993-02-19,1993-04-01,1545
250491,1929529,Programming languages meets program verification,,Proceedings of the 5th ACM workshop,Austin,Texas,USA,2011-01-29,2011-01-29,2011-01-29,1545
250549,1988915,Memory Systems Performance and Correctness,,Proceedings of the 2011 ACM SIGPLAN Workshop,San Jose,California,,2011-06-05,2011-06-05,2011-06-05,1545
250702,572020,Human-computer interaction,,Proceedings of the second Nordic conference,Aarhus,,Denmark,2002-10-19,2002-10-23,2002-10-19,1545
250785,1837164,Network and Systems Support for Games,,Proceedings of the 8th Annual Workshop,Paris,,France,2009-11-23,2009-11-24,2009-11-23,4124
251011,964442,Intelligent user interfaces,,Proceedings of the 9th international conference,"Funchal, Madeira",,Portugal,2004-01-13,2004-01-16,2004-01-13,1545
251323,2600057,Economics and computation,,Proceedings of the fifteenth ACM conference,Palo Alto,California,USA,2014-06-08,2014-06-12,2014-06-01,1545
251352,1275165,Computer architecture education,,Proceedings of the 1997 workshop,,,,1997-01-01,,1997-01-01,1545
251598,143559,Applied computing,technological challenges of the 1990's,Proceedings of the 1992 ACM/SIGAPP Symposium,Kansas City,Missouri,USA,,,1992-04-01,1545
251815,2095697,Advances in Mobile Computing and Multimedia,,Proceedings of the 9th International Conference,Ho Chi Minh City,,Vietnam,2011-12-05,2011-12-07,2011-12-05,1545
252273,266021,,,Proceedings of the 34th annual Design Automation Conference,Anaheim,California,USA,1997-06-09,1997-06-13,1997-06-13,1545
252323,1572192,Emerging Trends in Free/Libre/Open Source Software Research and Development,,Proceedings of the 2009 ICSE Workshop,,,,2009-05-18,2009-05-18,2009-05-18,3039
252406,324426,Ada,,Proceedings of the 1985 annual ACM SIGAda international conference,Paris,,France,1985-05-14,1985-05-16,1985-05-01,252407
252581,1315843,"Bio inspired models of network, information and computing systems",,Proceedings of the 1st international conference,Cavalese,,Italy,2006-12-11,2006-12-13,2006-12-11,1545
252654,1243441,Web accessibility (W4A),,Proceedings of the 2007 international cross-disciplinary conference,Banff,,Canada,2007-05-07,2007-05-08,2007-05-07,1545
252894,2568493,,,Proceedings of the 2013 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT),,,,2013-11-17,2013-11-20,2013-11-17,3039
252942,1878500,GeoStreaming,,Proceedings of the ACM SIGSPATIAL International Workshop,San Jose,California,,2010-11-02,2010-11-02,2010-11-02,1545
253008,2659480,Social Network Mining and Analysis,,Proceedings of the 8th Workshop,New York,NY,USA,2014-08-24,2014-08-27,2014-08-24,1545
253213,2422531,Embedded Sensing Systems for Energy-Efficiency in Buildings,,Proceedings of the Fourth ACM Workshop,Toronto,Ontario,Canada,2012-11-06,2012-11-06,2012-11-06,1545
253301,1555697,Future Internet Technologies,,Proceedings of the 4th International Conference,Seoul,,Korea,2009-06-17,2009-06-19,2009-06-17,1545
253397,800206,Symbolic and algebraic computation,,Proceedings of the fourth ACM symposium,Snowbird,Utah,USA,1981-08-05,1981-08-07,1981-08-05,1545
253497,1460299,,,"Papers presented at the December 1-3, 1959, eastern joint IRE-AIEE-ACM computer conference",Boston,Massachusetts,,1959-12-01,1959-12-03,1959-12-01,1545
253724,1368436,,,Proceedings of the 2006 ACM CoNEXT conference,Lisboa,,Portugal,2006-12-04,2006-12-07,2006-12-04,1545
253770,2639490,Predictive Models in Software Engineering,,Proceedings of the 10th International Conference,Turin,,Italy,2014-09-17,2014-09-17,2014-09-17,1545
253817,2377816,Feature-Oriented Software Development,,Proceedings of the 4th International Workshop,Dresden,,Germany,2012-09-24,2012-09-25,2012-09-24,1545
253853,2676662,CrossCloud Systems,,Proceedings of the 2nd International Workshop,Bordeaux,,France,2014-12-08,2014-12-08,2014-12-08,1545
254289,1279740,New interfaces for musical expression,,Proceedings of the 7th international conference,New York,New York,,2007-06-06,2007-06-10,2007-06-06,1545
255177,1837274,,,Proceedings of the 47th Design Automation Conference,Anaheim,California,,2010-06-13,2010-06-18,2010-06-13,1545
255225,2614208,,,ACM SIGGRAPH 2014 Panels,Vancouver,,Canada,2014-08-10,2014-08-14,2014-07-27,1545
255360,1519065,Computer systems,,Proceedings of the 4th ACM European conference,Nuremberg,,Germany,2009-04-01,2009-04-03,2009-04-01,1545
255561,1944745,,,Symposium on Interactive 3D Graphics and Games,San Francisco,California,,2011-02-18,2011-02-20,2011-02-18,1545
255784,582034,Supercomputing,,Proceedings of the 2001 ACM/IEEE conference,Denver,Colorado,,2001-11-10,2001-11-16,2001-11-10,1545
256012,1404371,Integrated circuits and system design,,Proceedings of the 21st annual symposium,Gramado,,Brazil,2008-09-01,2008-09-04,2008-09-01,1545
256263,1378533,Parallelism in algorithms and architectures,,Proceedings of the twentieth annual symposium,Munich,,Germany,2008-06-14,2008-06-16,2008-06-01,1545
256722,2071423,Advances in Computer Entertainment Technology,,Proceedings of the 8th International Conference,Lisbon,,Portugal,2011-11-08,2011-11-11,2011-11-08,1545
256943,2367656,,,Proceedings of the 2008 Summer Computer Simulation Conference,Edinburgh,,Scotland,2008-06-16,2008-06-19,2008-06-16,14091
257020,2432523,Large Installation System Administration,"strategies, tools, and techniques",Proceedings of the 26th international conference,San Diego,CA,,2012-12-09,2012-12-14,2012-12-09,34855
257086,1055558,Principles of database systems,,Proceedings of the twenty-third ACM SIGMOD-SIGACT-SIGART symposium,Paris,,France,2004-06-14,2004-06-16,2004-06-14,1545
257171,45410,Office information systems,,Proceedings of the ACM SIGOIS and IEEECS TC-OA 1988 conference,Palo Alto,California,USA,1988-03-23,1988-03-25,1988-04-01,1545
257217,2029956, mobile eye-based interaction,,Proceedings of the 1st international workshop,Beijing,,China,2011-09-18,2011-09-18,2011-09-18,1545
257275,182409,LISP and functional programming,,Proceedings of the 1994 ACM conference,Orlando,Florida,USA,1994-06-27,1994-06-29,1994-07-01,1545
257315,2377836,,,Proceedings of the 2nd International Workshop on Adaptive Services for the Future Internet and 6th International Workshop on Web APIs and Service Mashups,Bertinoro,,Italy,2012-09-19,2012-09-19,2012-09-19,1545
257400,2500828,Principles and Practices of Programming on the Java Platform,"Virtual Machines, Languages, and Tools",Proceedings of the 2013 International Conference,Stuttgart,,Germany,2013-09-11,2013-09-13,2013-09-11,1545
257461,982372,Computer personnel research,"Careers, culture, and ethics in a networked environment",Proceedings of the 2004 SIGMIS conference,Tucson,AZ,USA,2004-04-22,2004-04-24,2004-04-22,1545
257525,1314333,Privacy in electronic society,,Proceedings of the 2007 ACM workshop,Alexandria,Virginia,USA,2007-10-29,2007-10-29,2007-10-29,1545
257679,2664446,Mining Software Repositories,,Proceedings of the 9th IEEE Working Conference,Zurich,,Switzerland,2012-06-02,2012-06-03,2012-06-02,4124
257720,1083292,Software quality,,Proceedings of the third workshop,St. Louis,Missouri,,2005-05-17,2005-05-17,2005-05-17,1545
257799,228329,Computer science,,Proceedings of the 1996 ACM 24th annual conference,Philadelphia,Pennsylvania,USA,1996-02-15,1996-02-18,1996-02-20,1545
257879,1085313,Design of communication, designing for pervasive information,Proceedings of the 23rd annual international conference,Coventry,,United Kingdom,2005-09-21,2005-09-23,2005-09-21,1545
258402,286498,Human Factors in Computing Systems,,CHI 98 Cconference Summary,Los Angeles,California,USA,1998-04-18,1998-04-23,1998-04-01,1545
258604,223784,Management of data,,Proceedings of the 1995 ACM SIGMOD international conference,San Jose,California,USA,1995-05-22,1995-05-25,1995-06-01,1545
258643,2489837,Scala,,Proceedings of the 4th Workshop,Montpellier,,France,2013-07-02,2013-07-02,2013-07-02,1545
258725,1730874,,,Proceedings of the 3rd India software engineering conference,Mysore,,India,2010-02-25,2010-02-27,2010-02-25,1545
258745,2034751,High-level parallel programming and applications,,Proceedings of the fifth international workshop,Tokyo,,Japan,2011-09-18,2011-09-18,2011-09-18,1545
258760,2486042,Non-Photorealistic Animation and Rendering,,Proceedings of the Symposium,Anaheim,California,,2013-07-19,2013-07-21,2013-07-19,1545
258850,15922,Computer graphics and interactive techniques,,Proceedings of the 13th annual conference,,,,,,1986-08-31,1545
258893,2047403,Personalised Multilingual Hypertext Retrieval,,Proceedings of the First Workshop,Eindhoven,,Netherlands,2011-06-06,2011-06-06,2011-06-06,1545
259925,1458082,Information and knowledge management,,Proceedings of the 17th ACM conference,Napa Valley,California,USA,2008-10-26,2008-10-30,2008-10-26,1545
259972,1053355,System level interconnect prediction,,Proceedings of the 2005 international workshop,San Francisco,California,USA,2005-04-02,2005-04-03,2005-04-02,1545
260002,313239,Discrete algorithms and methods for mobile computing and communications,,Proceedings of the 3rd international workshop,Seattle,Washington,USA,1999-08-20,1999-08-20,1999-08-01,1545
260128,2643094,Simulation Tools and Techniques,,Proceedings of the 7th International ICST Conference,Lisbon,,Portugal,2014-03-17,2014-03-19,2014-03-17,6032
260216,2494444,Computer Science and Software Engineering,,Proceedings of the International C* Conference,Porto,,Portugal,2013-07-10,2013-07-12,2013-07-10,1545
260258,1186655,Mobile and ubiquitous multimedia,,Proceedings of the 5th international conference,Stanford,California,USA,2006-12-04,2006-12-06,2006-12-04,1545
260420,2380356,Embedded software,,Proceedings of the tenth ACM international conference,Tampere,,Finland,2012-10-07,2012-10-12,2012-10-07,1545
260493,2668904,Visual Media Production,,Proceedings of the 11th European Conference,London,,United Kingdom,2014-11-13,2014-11-14,2014-11-13,1545
260523,1065907,New security paradigms,,Proceedings of the 2004 workshop,Nova Scotia,,Canada,2004-09-20,2004-09-23,2004-09-20,1545
260886,2591708, technology in computer science education,,Proceedings of the 2014 conference,Uppsala,,Sweden,2014-06-21,2014-06-25,2014-06-21,1545
261060,1064212,Measurement and modeling of computer systems,,Proceedings of the 2005 ACM SIGMETRICS international conference,Banff,Alberta,Canada,2005-06-06,2005-06-10,2005-06-06,1545
261534,1247480,Management of data,,Proceedings of the 2007 ACM SIGMOD international conference,Beijing,,China,2007-06-11,2007-06-14,2007-06-11,1545
261604,1434878,,information processing systems---reliability and requirements,"Papers and discussions presented at the Dec. 8-10, 1953, eastern joint AIEE-IRE computer conference",Washington,D.C.,,1953-12-08,1953-12-10,1953-12-08,1545
261634,1314483,Automating service quality,Held at the International Conference on Automated Software Engineering (ASE),Proceedings of the 2007 workshop,Atlanta,Georgia,,2007-11-06,2007-11-06,2007-11-06,1545
261775,1102613,Mobility and ubiquity computing,,Proceedings of the 2nd French-speaking conference,Grenoble,,France,2005-05-31,2005-06-03,2005-05-31,1545
261815,968559,XML security,,Proceedings of the 2003 ACM workshop,Fairfax,Virginia,,2003-10-31,2003-10-31,2003-10-31,1545
261882,605397,Architectural support for programming languages and operating systems,,Proceedings of the 10th international conference,San Jose,California,,2002-10-05,2002-10-09,2002-10-05,1545
261907,800120,,,Proceedings of the eleventh annual SIGCPS computer personnel research conference,College Park,Maryland,USA,1973-06-21,1973-06-22,1973-06-21,1545
261952,800266,,,Proceedings of the SHARE design automation project,,,,,,1965-01-01,1545
261990,1863509,Erlang,,Proceedings of the 9th ACM SIGPLAN workshop,Baltimore,Maryland,USA,2010-09-30,2010-09-30,2010-09-30,1545
262337,2743065, Technology (ICARCSET 2015),,Proceedings of the 2015 International Conference,Unnao,,India,2015-03-06,2015-03-07,2015-03-06,1545
262388,2524211,Timely Results in Operating Systems,,Proceedings of the First ACM SIGOPS Conference,Farmington,Pennsylvania,,2013-11-03,2013-11-06,2013-11-03,1545
262660,1647314,Multimodal interfaces,,Proceedings of the 2009 international conference,Cambridge,Massachusetts,USA,2009-11-02,2009-11-04,2009-11-02,1545
262844,2160673,Information and Communication Technologies and Development,,Proceedings of the Fifth International Conference,Atlanta,Georgia,USA,2012-03-12,2012-03-15,2012-03-12,1545
262920,1161064,Vehicular ad hoc networks,,Proceedings of the 3rd international workshop,Los Angeles,CA,USA,2006-09-29,2006-09-29,2006-09-29,1545
262991,288235,Mobile computing and networking,,Proceedings of the 4th annual ACM/IEEE international conference,Dallas,Texas,USA,1998-10-25,1998-10-30,1998-10-25,1545
263027,2038633,,,Managing Large-scale Systems via the Analysis of System Logs and the Application of Machine Learning Techniques,Cascais,,Portugal,2011-10-23,2011-10-26,2011-10-23,1545
263164,563182,Computer graphics and interactive techniques,,Proceedings of the 1st annual conference,Boulder,Colorado,,1974-07-12,1974-07-14,1974-07-12,1545
263235,2516760, mobile devices,,Proceedings of the Third ACM workshop,Berlin,,Germany,2013-11-08,2013-11-08,2013-11-08,1545
263286,2491661,Runtime and Operating Systems for Supercomputers,,Proceedings of the 3rd International Workshop,Eugene,Oregon,,2013-06-10,2013-06-10,2013-06-10,1545
263764,256562,Winter simulation,,Proceedings of the 28th conference,Coronado,California,USA,1996-12-08,1996-12-11,1996-11-08,3039
264038,2674061,Embedded Systems for Energy-Efficient Buildings,,Proceedings of the 1st ACM Conference,Memphis,Tennessee,,2014-11-03,2014-11-06,2014-11-03,1545
264401,304238,Winter simulation,,Proceedings of the 23rd conference,Phoenix,Arizona,USA,1991-12-08,1991-12-11,1991-12-01,3039
264446,2479440,Testing Database Systems,,Proceedings of the Sixth International Workshop,New York,New York,,2013-06-24,2013-06-24,2013-06-24,1545
264525,2407085,,,Proceedings of the Seventeenth Australasian Document Computing Symposium,Dunedin,,New Zealand,2012-12-05,2012-12-06,2012-12-05,1545
264703,344166,Low power electronics and design,,Proceedings of the 2000 international symposium,Rapallo,,Italy,2000-07-25,2000-07-27,2000-08-01,1545
264766,2736084,Network and Operating Systems Support for Digital Audio and Video,,Proceedings of the 25th ACM Workshop,Portland,Oregon,,2015-03-18,2015-03-20,2015-03-18,1545
264854,2537148,Student workhop,,Proceedings of the 2013 workshop,Santa Barbara,California,USA,2013-12-09,2013-12-09,2013-12-09,1545
264900,2162024,Modularity in Systems Software,,Proceedings of the 2012 workshop,Potsdam,,Germany,2012-03-27,2012-03-27,2012-03-27,1545
264963,268826,Parallel and distributed simulation,,Proceedings of the eleventh workshop,Lockenhaus,,Austria,1997-06-10,1997-06-13,1997-06-01,3039
265071,2107502,Mobile Ad Hoc Networking and Computing,,Proceedings of the Twelfth ACM International Symposium,Paris,,France,2011-05-17,2011-05-19,2011-05-17,1545
265143,222092,Artificial intelligence and law,,Proceedings of the 5th international conference,College Park,Maryland,USA,1995-05-21,1995-05-24,1995-05-24,1545
265189,1509276,"Aspects, components, and patterns for infrastructure software",,Proceedings of the 8th workshop,Charlottesville,Virginia,USA,2009-03-02,2009-03-02,2009-03-02,1545
265233,1397705,Networked systems for developing regions,,Proceedings of the second ACM SIGCOMM workshop,Seattle,WA,USA,2008-08-18,2008-08-18,2008-08-18,1545
265484,1891903,,,International Conference on Multimodal Interfaces and the Workshop on Machine Learning for Multimodal Interaction,Beijing,,China,2010-11-08,2010-11-10,2010-11-08,1545
265508,1596486,Specification and verification of component-based systems,,Proceedings of the 8th international workshop,Amsterdam,,The Netherlands,2009-08-25,2009-08-25,2009-08-25,1545
265562,375658,Parallel and distributed simulation,,Proceedings of the fifteenth workshop,Lake Arrowhead,California,USA,2001-05-15,2001-05-18,2001-05-15,3039
265619,73312,Forth,,Proceedings of the first annual workshop,Austin,Texas,USA,,,1989-01-17,1545
265728,800039,Computer science education,,Proceedings of the fifteenth SIGCSE technical symposium,,,,,,1984-01-01,1545
265854,75199,Software specification and design,,Proceedings of the 5th international workshop,Pittsburgh,Pennsylvania,USA,,,1989-04-01,1545
266181,1993636,Theory of computing,,Proceedings of the forty-third annual ACM symposium,San Jose,California,USA,2011-06-06,2011-06-08,2011-06-06,1545
266443,1101389,Computer graphics and interactive techniques in Australasia and South East Asia,,Proceedings of the 3rd international conference,Dunedin,,New Zealand,2005-11-29,2005-12-02,2005-11-29,1545
266562,2557668,,,Proceedings of the 2013 Grand Challenges on Modeling and Simulation Conference,Toronto,Ontario,Canada,2013-07-07,2013-07-10,2013-07-07,14091
266605,2465829,Virtualization technologies in distributed computing,,Proceedings of the 7th international workshop,New York,New York,USA,2013-06-18,2013-06-18,2013-06-18,1545
266652,1028613,Adaptive and reflective middleware,,Proceedings of the 3rd workshop,Toronto,Ontario,Canada,2004-10-19,2004-10-19,2004-10-19,1545
266776,506378,ACM SIGOPS European workshop,Models and paradigms for distributed systems structuring,Proceedings of the 5th workshop,Mont Saint-Michel,,France,1992-09-21,1992-09-23,1992-09-21,1545
266824,1023875,Vehicular ad hoc networks,,Proceedings of the 1st ACM international workshop,Philadelphia,PA,USA,2004-10-01,2004-10-01,2004-10-01,1545
266936,1121992,Code Generation and Optimization,,Proceedings of the International Symposium,,,,2006-03-26,2006-03-29,2006-03-26,3039
267090,800045,Human Factors in Computing Systems,,Proceedings of the SIGCHI Conference,Boston,Massachusetts,USA,1983-12-12,1983-12-15,1983-12-12,1545
267144,2666036,Managing Technical Debt,,Proceedings of the Third International Workshop,Zurich,,Switzerland,2012-06-05,2012-06-05,2012-06-05,4124
267436,1812530,Information and communication technologies and development,,Proceedings of the 3rd international conference,Doha,,Qatar,2009-04-17,2009-04-19,2009-04-17,4124
267622,1013235,Low power electronics and design,,Proceedings of the 2004 international symposium,Newport Beach,California,USA,2004-08-09,2004-08-11,2004-08-09,1545
267732,2044354,Human-Computer Interaction,,23rd French Speaking Conference,Sophia Antipolis,,France,2011-10-24,2011-10-27,2011-10-24,1545
267907,800256,,,Proceedings of the 1966 21st national conference,,,,,,1966-01-01,1545
268170,1152215,Human-computer interaction with mobile devices and services,,Proceedings of the 8th conference,Helsinki,,Finland,2006-09-12,2006-09-15,2006-09-12,1545
268267,800081,Data communications,,Proceedings of the seventh symposium,Mexico City,,Mexico,1981-10-27,1981-10-29,1981-10-27,1545
268356,500737,Knowledge capture,,Proceedings of the 1st international conference,Victoria,British Columbia,Canada,2001-10-22,2001-10-23,2001-10-22,1545
268368,2322156,,the Challenges of Power-Constrained Performance,Proceedings of the Future HPC Systems,Venezia,,Italy,2012-06-25,2012-06-25,2012-06-25,1545
268420,647003,,,The Papers of the Fifth Workshop on Computer Architecture for Non-Numeric Processing,,,,1980-03-11,1980-03-14,1980-03-11,1545
268467,1145706,Context in advanced interfaces,,Proceedings of the international workshop in conjunction with AVI 2006,Venice,,Italy,2006-05-23,2006-05-23,2006-05-23,1545
268502,508530,Non-photorealistic animation and rendering,,Proceedings of the 2nd international symposium,Annecy,,France,2002-06-03,2002-06-05,2002-06-03,1545
268584,2069000,Design and analysis of intelligent vehicular networks and applications,,Proceedings of the first ACM international symposium,Miami,Florida,USA,2011-11-04,2011-11-04,2011-11-04,1545
268691,98524,Computational geometry,,Proceedings of the sixth annual symposium,Berkley,California,USA,1990-06-07,1990-06-09,1990-05-01,1545
268756,1859934,Challenged networks,,Proceedings of the 5th ACM workshop,Chicago,Illinois,USA,2010-09-24,2010-09-24,2010-09-24,1545
268823,1006032,Electronic theater program,,ACM SIGGRAPH 2003 video review on Electronic theater program,,,,2003-07-27,2003-07-27,2003-07-27,1545
269038,2516540,Automotive User Interfaces and Interactive Vehicular Applications,,Proceedings of the 5th International Conference,Eindhoven,,Netherlands,2013-10-28,2013-10-30,2013-10-28,1545
269267,1937728,Internet Multimedia Computing and Service,,Proceedings of the Second International Conference,Harbin,,China,2010-12-30,2010-12-31,2010-12-30,1545
269300,2691352,,,Proceedings of the Computer Science Education Research Conference,Berlin,,Germany,2014-11-05,2014-11-06,2014-11-05,1545
269373,961053,Operating systems principles,,Proceedings of the second symposium,Princeton,New Jersey,,1969-10-20,1969-10-22,1969-10-20,1545
269509,2001420,Software Testing and Analysis,,Proceedings of the 2011 International Symposium,Toronto,Ontario,Canada,2011-07-17,2011-07-21,2011-07-17,1545
